Pesticide_Name,USGSpcode,n_chemical_result_rows,n_sampling_activities,n_analysis_sites,n_site_abbreviations,first_date,last_date,n_water_years,n_nondetect_rows,n_other_detection_condition_rows,n_detection_condition_missing,reporting_level_min_ugL,reporting_level_median_ugL,reporting_level_max_ugL,reporting_level_changed_over_time,detected_or_other_value_median_ugL,detected_or_other_value_max_ugL,pct_rows_with_5_core_env_vars,pct_rows_with_all_6_env_vars,dc_window_rows,dc_window_activities,outside_dc_window_rows,outside_dc_window_activities
Methoxyfenozide,68647,11028,11028,81,81,2012-10-01,2022-09-29,10,8103,2925,0,0.0011,0.0022,0.0022,True,0.00182,1.85,94.4,23.6,9644,9644,1384,1384
Metolachlor,65090,12594,12594,81,81,2012-10-02,2022-09-29,10,4168,8426,0,0.0032,0.009,0.01,True,0.03475,134.0,94.3,25.0,11038,11038,1556,1556
Metolachlor ESA,68651,12466,12466,80,80,2012-10-01,2022-09-29,10,5607,6859,0,0.068,0.068,0.25,True,0.265,10.3,94.3,25.1,10947,10947,1519,1519
Metolachlor OA,68650,10655,10655,80,80,2012-10-01,2022-09-29,10,7264,3391,0,0.149,0.149,0.25,True,0.276,12.8,94.5,24.4,9245,9245,1410,1410
Metribuzin,68652,10994,10994,81,81,2012-10-01,2022-09-29,10,9014,1980,0,0.01,0.02,0.025,True,0.03925,34.1,94.2,24.6,10232,10232,762,762
Myclobutanil,66632,12696,12696,81,81,2012-10-01,2022-09-29,10,11903,793,0,0.0035,0.007,0.05,True,0.00649,0.235,94.3,25.2,11124,11124,1572,1572
OIAT,68659,11372,11372,81,81,2012-10-01,2022-09-29,10,6229,5143,0,0.002,0.004,0.005,True,0.00786,0.556,94.6,24.8,9990,9990,1382,1382
OIET,68660,11383,11383,81,81,2012-10-01,2022-09-29,10,3679,7704,0,0.004,0.008,0.025,True,0.0393,1.47,94.6,25.0,9835,9835,1548,1548
Oryzalin,68663,12639,12639,81,81,2012-10-01,2022-09-29,10,12180,459,0,0.011,0.012,0.282,True,0.0168,1.31,94.3,25.1,11103,11103,1536,1536
Piperonyl butoxide,65102,12480,12480,81,81,2012-10-01,2022-09-29,10,11385,1095,0,0.004,0.025,0.25,True,0.0053,0.369,94.2,24.8,10908,10908,1572,1572
Prometon,67702,11782,11782,81,81,2012-10-01,2022-09-29,10,5199,6583,0,0.002,0.004,0.004,True,0.00414,0.875,94.3,24.5,10553,10553,1229,1229
Propazine,68678,10631,10631,80,80,2012-10-01,2022-09-29,10,7850,2781,0,0.0016,0.0032,0.004,True,0.00439,0.546,94.5,23.5,9832,9832,799,799
Propiconazole,66643,10052,10052,80,80,2012-10-01,2022-09-29,10,6276,3776,0,0.003,0.006,0.006,True,0.00924,1.67,94.6,23.3,9183,9183,869,869
Propoxur,68679,12670,12670,81,81,2012-10-01,2022-09-29,10,11728,942,0,0.0016,0.0032,0.25,True,0.0022250000000000004,0.0295,94.3,25.1,11099,11099,1571,1571
Pyraclostrobin,66646,12699,12699,81,81,2012-10-01,2022-09-29,10,11952,747,0,0.0012,0.0024,0.025,True,0.00186,0.389,94.3,25.2,11127,11127,1572,1572
Simazine,65105,12322,12322,81,81,2012-10-01,2022-09-29,10,6818,5504,0,0.0036,0.01,0.025,True,0.0314,17.8,94.3,24.9,10798,10798,1524,1524
Sulfentrazone,68687,8769,8769,80,80,2012-10-01,2022-09-29,10,4852,3917,0,0.011,0.011,0.02,True,0.0225,4.3,94.8,25.0,7682,7682,1087,1087
Sulfometuron-methyl,68688,9996,9996,80,80,2012-10-01,2022-09-29,10,7838,2158,0,0.002,0.004,0.004,True,0.0040149999999999995,0.25,94.8,22.5,9478,9478,518,518
Tebuconazole,66649,9793,9793,81,81,2012-10-01,2022-09-27,10,7549,2244,0,0.0025,0.005,0.015,True,0.00818,0.93,94.4,23.6,9004,9004,789,789
Tebupirimfos,68693,12701,12701,81,81,2012-10-01,2022-09-29,10,12615,86,0,0.001,0.002,0.0344,True,0.0014,0.0341,94.3,25.2,11129,11129,1572,1572
Tebuthiuron,68695,11011,11011,80,80,2012-10-01,2022-09-29,10,6615,4396,0,0.0015,0.003,0.00328,True,0.00336,9.99,94.8,23.8,10044,10044,967,967
Terbufos,68699,12696,12696,81,81,2012-10-01,2022-09-29,10,12692,4,0,0.0034,0.0068,0.25,True,0.006234999999999999,0.00829,94.3,25.2,11124,11124,1572,1572
Terbufos sulfone,68703,12625,12625,81,81,2012-10-01,2022-09-29,10,12610,15,0,0.011,0.011,0.25,True,0.00848,0.0214,94.3,25.0,11122,11122,1503,1503
Terbufos sulfoxide,68704,12699,12699,81,81,2012-10-01,2022-09-29,10,12516,183,0,0.0015,0.003,0.05,True,0.00275,0.114,94.3,25.2,11127,11127,1572,1572
Tetraconazole,66654,12694,12694,81,81,2012-10-01,2022-09-29,10,12114,580,0,0.0035,0.007,0.25,True,0.005775000000000001,0.241,94.3,25.2,11122,11122,1572,1572
Thiobencarb,65107,12590,12590,81,81,2012-10-01,2022-09-29,10,12360,230,0,0.002,0.0042,0.025,True,0.0038900000000000002,2.06,94.4,25.2,11018,11018,1572,1572
Triclopyr,68712,8716,8716,80,80,2012-10-01,2022-09-29,10,6923,1793,0,0.088,0.088,0.088,False,0.0747,15.4,95.1,23.0,7903,7903,813,813
Trifloxystrobin,66660,12587,12587,81,81,2012-10-01,2022-09-29,10,12352,235,0,0.0014,0.0028,0.025,True,0.00135,0.11,94.5,25.2,11016,11016,1571,1571
cis-Cyhalothric acid,68553,12166,12166,81,81,2012-10-01,2022-09-29,10,12116,50,0,0.086,0.2,5.0,True,0.11699999999999999,0.972,94.3,25.0,10602,10602,1564,1564
cis-Permethrin,68769,12692,12692,81,81,2012-10-01,2022-09-29,10,12661,31,0,0.002,0.0042,0.25,True,0.0031,0.0284,94.3,25.2,11123,11123,1569,1569
trans-Permethrin,68708,12580,12580,81,81,2012-10-01,2022-09-29,10,12536,44,0,0.0019,0.004,0.251,True,0.00338,0.0418,94.5,25.2,11011,11011,1569,1569
