Activity_ActivityIdentifier,Site_Abb,Activity_StartDate,variable,G_value,mine_value,difference_G_minus_mine,issue
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014-03-25,Dissolved_Oxygen_mg_L,,12.9,,mine missing (G has value)
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014-03-25,Specific_Conductance,,742.0,,mine missing (G has value)
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014-03-25,Water_Temperature_C,,4.8,,mine missing (G has value)
9855251e-ae0c-4318-bcea-8a92a6c6b1db,"Maple Creek, NE",2014-03-25,pH,,8.3,,mine missing (G has value)
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014-04-10,Dissolved_Oxygen_mg_L,,10.9,,mine missing (G has value)
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014-04-10,Specific_Conductance,,708.0,,mine missing (G has value)
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014-04-10,Water_Temperature_C,,13.8,,mine missing (G has value)
0d319497-ef06-4f51-9246-d2718ed36bf8,"Maple Creek, NE",2014-04-10,pH,,8.3,,mine missing (G has value)
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014-04-22,Dissolved_Oxygen_mg_L,,11.5,,mine missing (G has value)
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014-04-22,Specific_Conductance,,676.0,,mine missing (G has value)
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014-04-22,Water_Temperature_C,,14.0,,mine missing (G has value)
a4da2cf3-f6af-4842-9afd-b8bcbbe4c991,"Maple Creek, NE",2014-04-22,pH,,8.5,,mine missing (G has value)
6999a30e-2add-4556-bb74-b5f4d31b49ec,"Maple Creek, NE",2014-05-07,Dissolved_Oxygen_mg_L,,9.2,,mine missing (G has value)
6999a30e-2add-4556-bb74-b5f4d31b49ec,"Maple Creek, NE",2014-05-07,Specific_Conductance,,663.0,,mine missing (G has value)
6999a30e-2add-4556-bb74-b5f4d31b49ec,"Maple Creek, NE",2014-05-07,Water_Temperature_C,,22.9,,mine missing (G has value)
6999a30e-2add-4556-bb74-b5f4d31b49ec,"Maple Creek, NE",2014-05-07,pH,,8.4,,mine missing (G has value)
ae11ab42-4702-41e3-9df2-87bf57df8061,"Maple Creek, NE",2014-05-14,Dissolved_Oxygen_mg_L,,9.3,,mine missing (G has value)
ae11ab42-4702-41e3-9df2-87bf57df8061,"Maple Creek, NE",2014-05-14,Specific_Conductance,,669.0,,mine missing (G has value)
ae11ab42-4702-41e3-9df2-87bf57df8061,"Maple Creek, NE",2014-05-14,Water_Temperature_C,,14.5,,mine missing (G has value)
ae11ab42-4702-41e3-9df2-87bf57df8061,"Maple Creek, NE",2014-05-14,pH,,8.0,,mine missing (G has value)
5b28923e-29a6-464f-827a-92f43966d2b6,"Maple Creek, NE",2014-05-20,Dissolved_Oxygen_mg_L,,8.8,,mine missing (G has value)
5b28923e-29a6-464f-827a-92f43966d2b6,"Maple Creek, NE",2014-05-20,Specific_Conductance,,718.0,,mine missing (G has value)
5b28923e-29a6-464f-827a-92f43966d2b6,"Maple Creek, NE",2014-05-20,Water_Temperature_C,,22.7,,mine missing (G has value)
5b28923e-29a6-464f-827a-92f43966d2b6,"Maple Creek, NE",2014-05-20,pH,,8.3,,mine missing (G has value)
f4ccd8fe-c891-4a10-92d3-955976a234d6,"Maple Creek, NE",2014-06-05,Dissolved_Oxygen_mg_L,,6.7,,mine missing (G has value)
