Activity_ActivityIdentifier,Site_Abb,Water_Year,Activity_StartDate,variable,method1_value,method2_value,difference_method1_minus_method2,exception_type
8cd86a07-b020-47c6-be62-8e201188fbd1,"Maple Creek, NE",2013,2013-08-27,pH,8.4,,,method2_missing_method1_has_value
3f220663-78b0-4ab3-bccb-163eac015108,"Maple Creek, NE",2013,2013-09-09,Discharge_cfs,3.9,3.87,0.029999999999999805,values_differ
3f220663-78b0-4ab3-bccb-163eac015108,"Maple Creek, NE",2013,2013-09-09,Dissolved_Oxygen_mg_L,9.9,,,method2_missing_method1_has_value
3f220663-78b0-4ab3-bccb-163eac015108,"Maple Creek, NE",2013,2013-09-09,Specific_Conductance,484.0,,,method2_missing_method1_has_value
3f220663-78b0-4ab3-bccb-163eac015108,"Maple Creek, NE",2013,2013-09-09,Water_Temperature_C,27.3,,,method2_missing_method1_has_value
3f220663-78b0-4ab3-bccb-163eac015108,"Maple Creek, NE",2013,2013-09-09,pH,8.4,,,method2_missing_method1_has_value
95744d13-197f-413c-bb87-7d4915ce2651,"Maple Creek, NE",2013,2013-09-26,Discharge_cfs,3.0,2.98,0.020000000000000018,values_differ
95744d13-197f-413c-bb87-7d4915ce2651,"Maple Creek, NE",2013,2013-09-26,Dissolved_Oxygen_mg_L,20.7,,,method2_missing_method1_has_value
95744d13-197f-413c-bb87-7d4915ce2651,"Maple Creek, NE",2013,2013-09-26,Specific_Conductance,415.0,,,method2_missing_method1_has_value
95744d13-197f-413c-bb87-7d4915ce2651,"Maple Creek, NE",2013,2013-09-26,Water_Temperature_C,22.2,,,method2_missing_method1_has_value
95744d13-197f-413c-bb87-7d4915ce2651,"Maple Creek, NE",2013,2013-09-26,pH,8.7,,,method2_missing_method1_has_value
80940cb6-f25f-42ad-a5fd-04874df76d8e,"Maple Creek, NE",2014,2013-10-21,Discharge_cfs,50.0,50.5,-0.5,values_differ
80940cb6-f25f-42ad-a5fd-04874df76d8e,"Maple Creek, NE",2014,2013-10-21,Dissolved_Oxygen_mg_L,13.8,,,method2_missing_method1_has_value
80940cb6-f25f-42ad-a5fd-04874df76d8e,"Maple Creek, NE",2014,2013-10-21,Specific_Conductance,751.0,,,method2_missing_method1_has_value
80940cb6-f25f-42ad-a5fd-04874df76d8e,"Maple Creek, NE",2014,2013-10-21,Water_Temperature_C,8.7,,,method2_missing_method1_has_value
80940cb6-f25f-42ad-a5fd-04874df76d8e,"Maple Creek, NE",2014,2013-10-21,pH,8.4,,,method2_missing_method1_has_value
21d1a81d-9981-44cb-a607-32696823d4bc,"Maple Creek, NE",2014,2013-11-18,Discharge_cfs,53.0,53.2,-0.20000000000000284,values_differ
21d1a81d-9981-44cb-a607-32696823d4bc,"Maple Creek, NE",2014,2013-11-18,Dissolved_Oxygen_mg_L,12.0,,,method2_missing_method1_has_value
21d1a81d-9981-44cb-a607-32696823d4bc,"Maple Creek, NE",2014,2013-11-18,Specific_Conductance,796.0,,,method2_missing_method1_has_value
21d1a81d-9981-44cb-a607-32696823d4bc,"Maple Creek, NE",2014,2013-11-18,Water_Temperature_C,5.6,,,method2_missing_method1_has_value
21d1a81d-9981-44cb-a607-32696823d4bc,"Maple Creek, NE",2014,2013-11-18,pH,8.4,,,method2_missing_method1_has_value
438e4d6e-b1b5-4309-a674-03cb7f0254e8,"Maple Creek, NE",2014,2013-12-17,Discharge_cfs,25.0,24.8,0.1999999999999993,values_differ
438e4d6e-b1b5-4309-a674-03cb7f0254e8,"Maple Creek, NE",2014,2013-12-17,Dissolved_Oxygen_mg_L,13.1,,,method2_missing_method1_has_value
438e4d6e-b1b5-4309-a674-03cb7f0254e8,"Maple Creek, NE",2014,2013-12-17,Specific_Conductance,859.0,,,method2_missing_method1_has_value
438e4d6e-b1b5-4309-a674-03cb7f0254e8,"Maple Creek, NE",2014,2013-12-17,Water_Temperature_C,1.5,,,method2_missing_method1_has_value
438e4d6e-b1b5-4309-a674-03cb7f0254e8,"Maple Creek, NE",2014,2013-12-17,pH,7.8,,,method2_missing_method1_has_value
5c0830d4-c7d8-47bb-8f8d-e61ae2ae431f,"Maple Creek, NE",2014,2014-01-23,Dissolved_Oxygen_mg_L,14.8,,,method2_missing_method1_has_value
5c0830d4-c7d8-47bb-8f8d-e61ae2ae431f,"Maple Creek, NE",2014,2014-01-23,Specific_Conductance,867.0,,,method2_missing_method1_has_value
